Gene,Target_ChEMBL_ID,Target_Name,Molecule_ChEMBL_ID,Drug_Name,SMILES,pChEMBL,Assay_Type,Max_Phase,First_Approval,Source
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640309,,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4cc(N)[nH]n4)cc3)NC(=O)NC1=O)C2,9.38,Ki,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL562999,,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,9.35,IC50,,,ChEMBL_API
IL1B,CHEMBL1909490,Interleukin-1 beta,CHEMBL3989927,IBERDOMIDE,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,9.34,IC50,3.0,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL563985,,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.34,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL580212,,CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,9.32,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640307,,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(c3)c(N)nn4C)NC(=O)NC1=O)C2,9.32,Ki,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL572944,,CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(CC(F)(F)F)c3n2)cc1,9.30,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640306,,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(c3)c(N)nn4CCN(C)C)NC(=O)NC1=O)C2,9.28,Ki,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL550972,,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,9.28,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL567822,,CNC(=O)Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(CC(F)(F)F)c3n2)cc1,9.25,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL573662,,CCOC(=O)N1CCC(n2ncc3c(N4CCOC[C@@H]4C)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,9.24,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL574234,,O=C(NCCF)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(CC(F)(F)F)c3n2)cc1,9.22,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL583874,,COC(=O)N1CCC(n2ncc3c(N4CC5CCC(C4)O5)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,9.21,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL561907,,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,9.21,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL575576,,CCNC(=O)Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.21,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL573171,,COC(=O)N1CCC(n2ncc3c(N4CCOC(C)C4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,9.21,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL540695,,O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)c5cccnc5)CC4)c3n2)cc1,9.08,IC50,,,ChEMBL_API
ULK1,CHEMBL6006,Serine/threonine-protein kinase ULK1,CHEMBL509032,TAE-684,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,9.08,Kd,,,ChEMBL_API
IL1B,CHEMBL1909490,Interleukin-1 beta,CHEMBL5949264,,O=C1CCC(N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,9.07,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL567607,,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@H]3C)c3cnn(C4CCN(C(=O)OCC)CC4)c3n2)cc1,9.06,IC50,,,ChEMBL_API
